hour,total,comment,reply
2025-09-12 22:00,16,8,8
2025-09-12 23:00,5,1,4
2025-09-13 00:00,10,6,4
2025-09-13 01:00,8,3,5
2025-09-13 02:00,1,1,0
2025-09-13 03:00,3,2,1
2025-09-13 04:00,1,0,1
2025-09-13 05:00,3,1,2
2025-09-13 06:00,1,0,1
2025-09-13 07:00,2,1,1
2025-09-13 08:00,2,1,1
2025-09-13 09:00,3,2,1
2025-09-13 10:00,2,1,1
2025-09-13 11:00,7,4,3
2025-09-13 12:00,9,5,4
2025-09-13 13:00,2,2,0
2025-09-13 14:00,3,2,1
2025-09-13 15:00,7,5,2
2025-09-13 16:00,11,7,4
2025-09-13 17:00,5,4,1
2025-09-13 18:00,2,2,0
2025-09-13 19:00,4,4,0
2025-09-13 20:00,2,1,1
2025-09-13 21:00,6,4,2
2025-09-13 22:00,8,7,1
2025-09-13 23:00,11,10,1
2025-09-14 00:00,6,6,0
2025-09-14 01:00,3,3,0
2025-09-14 02:00,4,1,3
2025-09-14 03:00,3,3,0
2025-09-14 04:00,1,1,0
2025-09-14 05:00,2,0,2
2025-09-14 06:00,1,0,1
2025-09-14 07:00,3,2,1
2025-09-14 08:00,2,1,1
2025-09-14 09:00,2,2,0
2025-09-14 10:00,4,3,1
2025-09-14 11:00,11,6,5
2025-09-14 12:00,4,4,0
2025-09-14 13:00,2,1,1
2025-09-14 14:00,4,1,3
2025-09-14 15:00,6,4,2
2025-09-14 16:00,10,2,8
2025-09-14 17:00,3,2,1
2025-09-14 19:00,5,2,3
2025-09-14 20:00,2,1,1
2025-09-14 21:00,5,2,3
2025-09-14 22:00,2,1,1
2025-09-14 23:00,4,2,2
2025-09-15 00:00,4,2,2
2025-09-15 01:00,1,1,0
2025-09-15 02:00,2,1,1
2025-09-15 04:00,1,1,0
2025-09-15 06:00,4,1,3
2025-09-15 07:00,2,2,0
2025-09-15 08:00,5,2,3
2025-09-15 09:00,5,1,4
2025-09-15 11:00,4,2,2
2025-09-15 12:00,2,1,1
2025-09-15 13:00,8,6,2
2025-09-15 14:00,11,11,0
2025-09-15 15:00,2,2,0
2025-09-15 16:00,1,1,0
2025-09-15 17:00,2,2,0
2025-09-15 18:00,2,2,0
2025-09-15 19:00,3,3,0
2025-09-15 20:00,1,0,1
2025-09-15 21:00,1,1,0
2025-09-15 22:00,6,5,1
2025-09-15 23:00,5,4,1
2025-09-16 00:00,2,2,0
2025-09-16 01:00,1,1,0
2025-09-16 07:00,1,1,0
2025-09-16 08:00,1,1,0
2025-09-16 09:00,11,10,1
2025-09-16 10:00,2,2,0
2025-09-16 11:00,1,0,1
2025-09-16 12:00,5,3,2
2025-09-16 13:00,5,5,0
2025-09-16 14:00,1,1,0
2025-09-16 16:00,12,12,0
2025-09-16 17:00,4,3,1
2025-09-16 18:00,5,3,2
2025-09-16 19:00,4,4,0
2025-09-16 20:00,3,1,2
2025-09-16 21:00,2,2,0
2025-09-16 22:00,1,1,0
2025-09-16 23:00,2,2,0
2025-09-17 00:00,1,0,1
2025-09-17 01:00,1,0,1
2025-09-17 09:00,2,1,1
2025-09-17 15:00,2,2,0
2025-09-17 16:00,1,1,0
2025-09-17 18:00,1,0,1
2025-09-17 19:00,1,1,0
2025-09-17 21:00,1,1,0
2025-09-18 08:00,2,2,0
2025-09-18 10:00,1,1,0
2025-09-18 11:00,1,1,0
2025-09-18 18:00,1,1,0
2025-09-18 19:00,1,1,0
2025-09-18 21:00,1,1,0
2025-09-19 12:00,2,2,0
2025-09-19 13:00,1,1,0
2025-09-19 19:00,1,0,1
2025-09-21 09:00,1,1,0
2025-09-21 19:00,1,1,0
2025-09-21 23:00,1,1,0
2025-09-22 02:00,1,1,0
2025-09-22 10:00,11,11,0
2025-09-22 13:00,1,1,0
2025-09-22 15:00,1,1,0
2025-09-22 16:00,1,1,0
2025-09-22 19:00,1,1,0
2025-09-22 21:00,3,3,0
2025-09-23 00:00,1,1,0
2025-09-23 03:00,1,1,0
2025-09-24 14:00,1,1,0
2025-09-25 16:00,1,1,0
2025-09-25 20:00,1,1,0
2025-09-27 09:00,1,1,0
2025-09-29 23:00,1,1,0
2025-10-07 02:00,1,1,0
2025-10-14 14:00,1,1,0
2025-10-31 20:00,1,1,0
2025-11-08 16:00,1,1,0
2025-11-27 11:00,1,1,0
2026-01-16 06:00,1,1,0
2026-01-16 10:00,2,1,1
2026-01-16 11:00,6,3,3
2026-01-16 12:00,1,0,1
2026-01-16 13:00,1,0,1
2026-01-16 14:00,1,1,0
2026-01-16 16:00,1,0,1
2026-01-16 17:00,2,1,1
2026-01-16 18:00,1,0,1
2026-01-16 19:00,1,1,0
2026-01-16 21:00,1,1,0
2026-01-16 22:00,1,1,0
2026-01-16 23:00,1,0,1
2026-01-17 00:00,1,0,1
2026-01-17 03:00,2,2,0
2026-01-17 04:00,1,0,1
2026-01-17 06:00,1,0,1
2026-01-17 08:00,2,1,1
2026-01-17 09:00,1,0,1
2026-01-17 11:00,1,0,1
2026-01-17 13:00,2,1,1
2026-01-17 14:00,1,1,0
2026-01-17 15:00,1,1,0
2026-01-17 20:00,1,1,0
2026-01-17 21:00,1,0,1
2026-01-18 00:00,1,0,1
2026-01-18 05:00,1,1,0
2026-01-19 20:00,1,1,0
2026-01-25 18:00,1,1,0
2026-02-05 18:00,1,1,0
2026-05-28 03:00,1,1,0
2026-05-31 20:00,1,1,0
