source_id,source_title,published_at,comment_all_count,page_reply_count,has_next_offset,extracted_content_count,extracted_comment_count,extracted_reply_count,distinct_user_count,extracted_like_sum,max_like_count,first_comment_at,last_comment_at,sample_coverage_percent
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,2025-09-14T11:30:00,9622,20,true,51,20,31,51,42732,10287,2025-09-14T11:32:54+08:00,2026-01-17T08:01:09+08:00,0.21
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,2025-09-12T22:03:59,6559,20,true,53,20,33,39,23041,3297,2025-09-12T22:07:39+08:00,2025-09-13T17:18:43+08:00,0.3
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,2025-09-13T18:35:16,983,20,true,37,20,17,36,8053,1801,2025-09-14T00:00:37+08:00,2025-09-16T18:10:19+08:00,2.03
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,2025-09-13T12:25:06,794,20,true,28,20,8,28,3301,689,2025-09-13T12:39:24+08:00,2026-01-18T05:01:13+08:00,2.52
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,2026-01-16T02:03:18,660,20,true,39,20,19,39,4418,791,2026-01-16T06:41:59+08:00,2026-05-31T20:44:59+08:00,3.03
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,2025-09-12T22:33:04,633,20,true,30,20,10,30,10639,4525,2025-09-13T18:29:28+08:00,2025-09-15T19:55:05+08:00,3.16
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,2025-09-13T23:58:11,530,20,true,26,20,6,26,1963,694,2025-09-14T00:03:44+08:00,2026-01-25T18:03:44+08:00,3.77
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,2025-09-12T22:26:53,385,20,true,22,20,2,22,826,258,2025-09-13T00:04:19+08:00,2025-09-15T12:38:44+08:00,5.19
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,2025-09-15T22:13:03,367,20,true,29,20,9,29,2845,743,2025-09-15T22:32:15+08:00,2025-09-23T00:55:54+08:00,5.45
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,2025-09-12T23:55:19,203,20,true,25,20,5,25,327,95,2025-09-13T05:11:15+08:00,2025-10-14T14:35:33+08:00,9.85
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,2025-09-16T08:51:25,169,19,true,21,19,2,21,909,195,2025-09-16T09:04:10+08:00,2025-11-27T11:31:27+08:00,11.24
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,2025-09-13T20:09:25,154,20,true,20,20,0,20,246,96,2025-09-13T20:56:53+08:00,2025-09-14T01:39:17+08:00,12.99
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,2025-09-16T15:36:43,77,20,true,21,20,1,21,803,224,2025-09-16T16:08:41+08:00,2025-09-16T23:34:15+08:00,25.97
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,2025-09-15T14:16:52,60,20,true,20,20,0,20,271,145,2025-09-15T14:18:07+08:00,2025-09-17T15:55:25+08:00,33.33
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,2025-09-15T13:35:02,24,13,true,13,13,0,13,36,13,2025-09-15T13:40:33+08:00,2025-11-08T16:00:20+08:00,54.17
bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,2025-09-22T10:11:48,22,20,true,20,20,0,20,114,20,2025-09-22T10:39:22+08:00,2025-09-24T14:29:30+08:00,90.91
