rank,content_id,content_type,source_id,source_title,user_id,user_name,content_preview,content_text,created_at,like_count,parent_content_id,root_content_id
1,bilibili_comment:274643018097,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:14046072,Mikoyan21,一桌菜只有客人是现宰的[大哭],一桌菜只有客人是现宰的[大哭],2025-09-14T16:25:10+08:00,10287,,
2,bilibili_comment:276018838736,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:16569302,弃庸乎,一岁的儿童吃着两岁的西兰花[笑哭][笑哭],一岁的儿童吃着两岁的西兰花[笑哭][笑哭],2025-09-14T12:22:55+08:00,5203,,
3,bilibili_comment:275967598656,comment,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:386799140,嗨皮要天天嗨皮,西门子冰箱，西贝事件都说明，这个世界需要一些勇敢的较真的人,西门子冰箱，西贝事件都说明，这个世界需要一些勇敢的较真的人,2025-09-13T22:12:52+08:00,4525,,
4,bilibili_comment:276070311792,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:362166833,清风夏天鸣蝉,哈哈哈哈,哈哈哈哈,2025-09-14T21:23:25+08:00,3880,,
5,bilibili_comment:274616833537,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:2800590,cheefay,我算是西贝的常客，本来一开始并不是很关注，但是直播截图看到转基因大豆油我就绷不住了。姑且不讨论转基因是否对健康有害，这个油它便宜啊。西贝随便人均消费100+，结果就用这40/50一桶的转基因大豆油？？？,我算是西贝的常客，本来一开始并不是很关注，但是直播截图看到转基因大豆油我就绷不住了。姑且不讨论转基因是否对健康有害，这个油它便宜啊。西贝随便人均消费100+，结果就用这40/50一桶的转基因大豆油？？？,2025-09-14T11:34:56+08:00,3547,,
6,bilibili_comment:275863926992,comment,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:21895343,穿趿拉板吃涮锅子,这件事，只要是吃饭馆的，吃外面点餐的，都应该支持老罗。正常人类，理解现做的饭菜，就是我下单后，餐馆把生鲜食材，通过自己厨房餐具完全做熟，端到食客面前。中间不存在半熟，冷冻数月以上的食材，和反复热制的食材。同时我们都应该支持老罗，呼吁推动预制...,这件事，只要是吃饭馆的，吃外面点餐的，都应该支持老罗。正常人类，理解现做的饭菜，就是我下单后，餐馆把生鲜食材，通过自己厨房餐具完全做熟，端到食客面前。中间不存在半熟，冷冻数月以上的食材，和反复热制的食材。同时我们都应该支持老罗，呼吁推动预制菜国标早日出台，并且食客有对预制菜的完全知情权。,2025-09-12T22:48:24+08:00,3297,,
7,bilibili_comment:274471553313,comment,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:4192759,飘酱_,主要是西贝太贵了[doge]你看有人骂萨莉亚吗,主要是西贝太贵了[doge]你看有人骂萨莉亚吗,2025-09-12T22:29:19+08:00,3209,,
8,bilibili_comment:274633406769,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:40853970,演员熊凤山,兄弟们 我昨天去了哈哈哈哈 43元的炒鸡蛋[笑哭],兄弟们 我昨天去了哈哈哈哈 43元的炒鸡蛋[笑哭],2025-09-14T14:26:39+08:00,2678,,
9,bilibili_comment:274617905569,comment,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:7644696,吧啦吧啦kimoji,[笑哭]当西贝厨房整了去年的羊腿的时候，什么预制菜定义权都不重要了,[笑哭]当西贝厨房整了去年的羊腿的时候，什么预制菜定义权都不重要了,2025-09-14T11:47:18+08:00,2521,,
10,bilibili_comment:275875231856,comment,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:8396203,怡红公子不懂爱,最可怜的是会有人说：谁一大早给你买那么多鱼来做菜啊[doge]，彻底绷不住了,最可怜的是会有人说：谁一大早给你买那么多鱼来做菜啊[doge]，彻底绷不住了,2025-09-13T00:53:24+08:00,2318,,
11,bilibili_comment:274549588065,comment,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:419175194,杉木橦,有一阵子确实出口的质量比国内的好 现在好像也是，出口的质量，材质都比国内的好[吃瓜],"有一阵子确实出口的质量比国内的好
现在好像也是，出口的质量，材质都比国内的好[吃瓜]",2025-09-13T18:29:28+08:00,2014,,
12,bilibili_comment:274614433969,comment,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:33709459,猪呆呆吃玉米,南京的大肉面。我宁愿多花两块换个大肉吃。,南京的大肉面。我宁愿多花两块换个大肉吃。,2025-09-14T11:09:33+08:00,1801,,
13,bilibili_comment:276002890448,comment,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:179911944,9mm空尖弹,感觉经常去西贝的人应该也会经常买星巴克和逛山姆,感觉经常去西贝的人应该也会经常买星巴克和逛山姆,2025-09-14T09:36:22+08:00,1643,,
