source_id,source_title,topic_label,content_count,content_percent,like_sum,avg_like,max_like
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,other_unclear,18,33.96,4535,251.94,1358
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,prepared_food_authenticity,12,22.64,5636,469.67,1283
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,luoyonghao_persona,6,11.32,864,144.0,346
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,price_value,5,9.43,4026,805.2,3209
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,consumer_right_to_know,4,7.55,3434,858.5,3297
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,mockery_meme,3,5.66,2400,800.0,2318
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,catering_industry_general,2,3.77,126,63.0,96
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,food_safety_child_meal,2,3.77,692,346.0,611
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,brand_pr_crisis,1,1.89,1328,1328.0,1328
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,prepared_food_authenticity,11,50.0,171,15.55,74
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,other_unclear,4,18.18,106,26.5,73
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,food_safety_child_meal,2,9.09,307,153.5,258
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,catering_industry_general,1,4.55,5,5.0,5
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,consumer_right_to_know,1,4.55,22,22.0,22
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,luoyonghao_persona,1,4.55,192,192.0,192
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,mockery_meme,1,4.55,7,7.0,7
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,price_value,1,4.55,16,16.0,16
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,other_unclear,16,53.33,4726,295.38,2014
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,luoyonghao_persona,10,33.33,5709,570.9,4525
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,catering_industry_general,2,6.67,18,9.0,10
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,mockery_meme,1,3.33,81,81.0,81
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,price_value,1,3.33,105,105.0,105
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,price_value,10,40.0,37,3.7,15
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,other_unclear,6,24.0,48,8.0,16
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,prepared_food_authenticity,4,16.0,149,37.25,95
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,mockery_meme,2,8.0,12,6.0,12
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,catering_industry_general,1,4.0,7,7.0,7
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,consumer_right_to_know,1,4.0,61,61.0,61
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,luoyonghao_persona,1,4.0,13,13.0,13
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,other_unclear,8,28.57,1411,176.38,689
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,prepared_food_authenticity,7,25.0,750,107.14,354
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,brand_pr_crisis,4,14.29,602,150.5,354
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,price_value,4,14.29,248,62.0,190
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,mockery_meme,3,10.71,118,39.33,54
