batch_no,item_count,ok,status,applied,raw_path,error
1,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_001.json,
2,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_002.json,
3,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_003.json,
4,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_004.json,
5,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_005.json,
6,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_006.json,
7,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_007.json,
8,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_008.json,
9,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_009.json,
10,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_010.json,
11,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_011.json,
12,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_012.json,
13,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_013.json,
14,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_014.json,
15,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_015.json,
16,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_016.json,
17,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_017.json,
18,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_018.json,
19,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_019.json,
20,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_020.json,
21,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_021.json,
22,20,True,200,20,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_022.json,
23,15,True,200,15,/Users/heh/projects/course/content security/course_design/data/analysis/module4_sentiment_stance/llm_raw/batch_023.json,
