source_id,source_title,sentiment_label,content_count,content_percent,like_sum,avg_like,max_like
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,neutral,29,54.72,8045,277.41,1358
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,negative,11,20.75,2088,189.82,794
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,sarcastic,11,20.75,9140,830.91,3209
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,positive,2,3.77,3768,1884.0,3297
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,neutral,13,59.09,287,22.08,74
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,sarcastic,4,18.18,283,70.75,258
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,negative,3,13.64,42,14.0,16
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,positive,2,9.09,214,107.0,192
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,neutral,25,83.33,5951,238.04,2014
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,sarcastic,4,13.33,163,40.75,84
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,positive,1,3.33,4525,4525.0,4525
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,neutral,15,60.0,237,15.8,95
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,sarcastic,8,32.0,75,9.38,24
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,negative,2,8.0,15,7.5,15
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,neutral,16,57.14,2330,145.62,689
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,sarcastic,7,25.0,866,123.71,354
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,negative,4,14.29,105,26.25,100
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,positive,1,3.57,0,0.0,0
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,neutral,27,72.97,6294,233.11,1801
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,negative,5,13.51,538,107.6,380
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,sarcastic,5,13.51,1221,244.2,520
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,neutral,14,70.0,215,15.36,96
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,sarcastic,4,20.0,21,5.25,11
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,negative,2,10.0,10,5.0,7
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,neutral,14,53.85,187,13.36,89
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,sarcastic,7,26.92,1199,171.29,694
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,negative,5,19.23,577,115.4,537
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,neutral,34,66.67,15927,468.44,5203
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,sarcastic,14,27.45,26016,1858.29,10287
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,negative,2,3.92,718,359.0,697
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,positive,1,1.96,71,71.0,71
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,neutral,8,61.54,18,2.25,12
