relation_id,source_id,source_title,source_user_id,source_user_name,target_user_id,target_user_name,content_id,target_content_id,created_at,source_topic,target_topic,source_sentiment,target_sentiment,source_stance,target_stance,same_topic,same_sentiment,same_stance,weight
relation:b1c9d70c64e90de99c1a,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:14329097,赵深沉Zz,bilibili:396015923,广东广西大件搬家物流,bilibili_comment:274469624353,bilibili_comment:275859606896,2025-09-12T22:09:53+08:00,prepared_food_authenticity,catering_industry_general,neutral,neutral,question_xibei,neutral_discussion,false,true,false,1.0
relation:04a61da71d639d71c8cc,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:396015923,广东广西大件搬家物流,bilibili_comment:275860067008,bilibili_comment:275859606896,2025-09-12T22:11:36+08:00,price_value,catering_industry_general,negative,neutral,question_xibei,neutral_discussion,false,false,false,1.0
relation:8c1833db7e033c99ed15,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:15904760,小能苗绝不投降,bilibili_comment:275863340832,bilibili_comment:274472769745,2025-09-12T22:43:12+08:00,other_unclear,prepared_food_authenticity,neutral,sarcastic,unclear_meme,question_xibei,false,false,false,1.0
relation:c6251c1d47953179a136,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:234574674,萌抽抽儿,bilibili:4192759,飘酱_,bilibili_comment:274473143361,bilibili_comment:274471553313,2025-09-12T22:43:55+08:00,prepared_food_authenticity,price_value,neutral,sarcastic,question_xibei,question_xibei,false,false,true,1.0
relation:a679bc8093580fd1c370,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:405069934,jonning的小号,bilibili_comment:275863426192,bilibili_comment:275863456048,2025-09-12T22:44:29+08:00,other_unclear,prepared_food_authenticity,negative,sarcastic,unclear_meme,question_xibei,false,false,false,1.0
relation:305cf9c7377d74d4ac43,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:21895343,穿趿拉板吃涮锅子,bilibili_comment:275864051920,bilibili_comment:275863926992,2025-09-12T22:49:56+08:00,other_unclear,consumer_right_to_know,neutral,positive,unclear_meme,support_luoyonghao,false,false,false,1.0
relation:5430c2279d2ab3800af2,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:279661,JIUQIANSHUODAO,bilibili_comment:275864323440,bilibili_comment:274473845969,2025-09-12T22:52:11+08:00,price_value,prepared_food_authenticity,negative,sarcastic,question_xibei,question_xibei,false,false,true,1.0
relation:bd0e56cd9ca502b46d28,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:321667815,代号x该隐1,bilibili_comment:275864619904,bilibili_comment:275864553072,2025-09-12T22:56:12+08:00,luoyonghao_persona,brand_pr_crisis,neutral,neutral,unclear_meme,question_xibei,false,true,false,1.0
relation:4f823e58808c5bd73bc4,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:15534260,萨马兰奇怪,bilibili:405069934,jonning的小号,bilibili_comment:274475224849,bilibili_comment:275863456048,2025-09-12T23:05:41+08:00,prepared_food_authenticity,prepared_food_authenticity,neutral,sarcastic,unclear_meme,question_xibei,true,false,false,1.0
relation:e277bde7675f9c2623ed,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:4192759,飘酱_,bilibili:21895343,穿趿拉板吃涮锅子,bilibili_comment:274475277409,bilibili_comment:275863926992,2025-09-12T23:07:15+08:00,consumer_right_to_know,consumer_right_to_know,neutral,positive,question_xibei,support_luoyonghao,true,false,false,1.0
relation:5f6ecbc680041758e269,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:3546633465760441,bili_23200358239,bilibili:321667815,代号x该隐1,bilibili_comment:275866525808,bilibili_comment:275864553072,2025-09-12T23:14:23+08:00,other_unclear,brand_pr_crisis,neutral,neutral,unclear_meme,question_xibei,false,true,false,1.0
relation:a599a150e2d12f93a261,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:34641757,40656763,bilibili:37087045,皇后的头风,bilibili_comment:274478548337,bilibili_comment:275860410384,2025-09-12T23:42:40+08:00,prepared_food_authenticity,other_unclear,neutral,neutral,question_xibei,unclear_meme,false,true,false,1.0
relation:d3e8707c9459dc99d7ca,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:35220868,onewaystreet1988321,bilibili:4192759,飘酱_,bilibili_comment:274481629265,bilibili_comment:274471553313,2025-09-13T00:16:15+08:00,other_unclear,price_value,neutral,sarcastic,unclear_meme,question_xibei,false,false,false,1.0
relation:e936d3650e49bdba5bbf,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:24556340,鱼刺931,bilibili_comment:275872867008,bilibili_comment:275872394816,2025-09-13T00:23:14+08:00,luoyonghao_persona,other_unclear,sarcastic,neutral,unclear_meme,unclear_meme,false,false,true,1.0
