source_topic,target_topic,reply_count,same_topic
other_unclear,other_unclear,22,true
prepared_food_authenticity,prepared_food_authenticity,14,true
other_unclear,prepared_food_authenticity,13,false
luoyonghao_persona,other_unclear,6,false
other_unclear,mockery_meme,6,false
other_unclear,food_safety_child_meal,5,false
price_value,price_value,5,true
price_value,other_unclear,4,false
price_value,prepared_food_authenticity,4,false
brand_pr_crisis,brand_pr_crisis,3,true
mockery_meme,mockery_meme,3,true
mockery_meme,other_unclear,3,false
other_unclear,brand_pr_crisis,3,false
other_unclear,price_value,3,false
prepared_food_authenticity,catering_industry_general,3,false
prepared_food_authenticity,mockery_meme,3,false
prepared_food_authenticity,other_unclear,3,false
catering_industry_general,brand_pr_crisis,2,false
consumer_right_to_know,prepared_food_authenticity,2,false
food_safety_child_meal,food_safety_child_meal,2,true
food_safety_child_meal,price_value,2,false
luoyonghao_persona,brand_pr_crisis,2,false
luoyonghao_persona,price_value,2,false
mockery_meme,brand_pr_crisis,2,false
mockery_meme,prepared_food_authenticity,2,false
mockery_meme,price_value,2,false
other_unclear,catering_industry_general,2,false
prepared_food_authenticity,price_value,2,false
price_value,mockery_meme,2,false
brand_pr_crisis,prepared_food_authenticity,1,false
catering_industry_general,prepared_food_authenticity,1,false
catering_industry_general,price_value,1,false
consumer_right_to_know,consumer_right_to_know,1,true
consumer_right_to_know,food_safety_child_meal,1,false
consumer_right_to_know,other_unclear,1,false
luoyonghao_persona,luoyonghao_persona,1,true
luoyonghao_persona,mockery_meme,1,false
luoyonghao_persona,prepared_food_authenticity,1,false
mockery_meme,food_safety_child_meal,1,false
other_unclear,consumer_right_to_know,1,false
prepared_food_authenticity,brand_pr_crisis,1,false
prepared_food_authenticity,consumer_right_to_know,1,false
prepared_food_authenticity,food_safety_child_meal,1,false
price_value,catering_industry_general,1,false
price_value,consumer_right_to_know,1,false
