source_id,source_title,reply_count,same_stance_edges,cross_stance_edges,same_stance_percent,same_topic_edges,same_topic_percent,same_sentiment_edges,same_sentiment_percent,interaction_homophily,structure_sample_status
bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,33,13,20,39.39,3,9.09,10,30.3,0.3939,sufficient
bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,2,0,2,0.0,1,50.0,1,50.0,0.0,insufficient
bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,10,10,0,100.0,8,80.0,9,90.0,1.0,sufficient
bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,5,3,2,60.0,2,40.0,3,60.0,0.6,sufficient
bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,8,3,5,37.5,2,25.0,5,62.5,0.375,sufficient
bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,17,10,7,58.82,8,47.06,8,47.06,0.5882,sufficient
bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,0,0,0,0.0,0,0.0,0,0.0,0,insufficient
bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,6,4,2,66.67,3,50.0,1,16.67,0.6667,sufficient
bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,31,12,19,38.71,15,48.39,17,54.84,0.3871,sufficient
bilibili_video:115206659249643,罗永浩与西贝争论事件原委 一条视频告诉你,0,0,0,0.0,0,0.0,0,0.0,0,insufficient
bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,0,0,0,0.0,0,0.0,0,0.0,0,insufficient
bilibili_video:115208706064466,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,9,3,6,33.33,2,22.22,3,33.33,0.3333,sufficient
bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,2,1,1,50.0,1,50.0,1,50.0,0.5,insufficient
bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,1,0,1,0.0,0,0.0,0,0.0,0.0,insufficient
bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,0,0,0,0.0,0,0.0,0,0.0,0,insufficient
bilibili_video:115900413909566,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,19,13,6,68.42,6,31.58,7,36.84,0.6842,sufficient
