relation_id,platform,source_id,source_user_id,target_user_id,relation_type,content_id,target_content_id,created_at,weight,raw_file_path
relation:00fd5c6977ccf0b73274,bilibili,bilibili_video:115900413909566,bilibili:10877703,bilibili:509046121,reply,bilibili_comment:288846993872,bilibili_comment:288778525664,2026-01-18T00:07:50+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！.txt
relation:011dd90396dba65f316b,bilibili,bilibili_video:115191693968861,bilibili:1216717318,,comment_source,bilibili_comment:275877306880,bilibili_video:115191693968861,2025-09-13T01:23:29+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩9月12日西贝门事件直播全程.txt
relation:019c039c9d4a4baf12b1,bilibili,bilibili_video:115196894908031,bilibili:381397326,,comment_source,bilibili_comment:275972653488,bilibili_video:115196894908031,2025-09-13T22:58:47+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩也是懵了，自杀式公关还是第一次见。.txt
relation:02663ff1679598364f17,bilibili,bilibili_video:115195083034113,bilibili:520065941,,comment_source,bilibili_comment:275930291776,bilibili_video:115195083034113,2025-09-13T16:02:44+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。.txt
relation:0326acefbec707bab52a,bilibili,bilibili_video:115192130181384,bilibili:172821628,,comment_source,bilibili_comment:275918720256,bilibili_video:115192130181384,2025-09-13T13:45:59+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱.txt
relation:033e7e47082c3d13a777,bilibili,bilibili_video:115191777923213,bilibili:13611391,bilibili:173244991,reply,bilibili_comment:274717342657,bilibili_comment:274700149617,2025-09-15T12:25:26+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！.txt
relation:03444da3378bed64feac,bilibili,bilibili_video:115206659249643,bilibili:14381371,,comment_source,bilibili_comment:274723924225,bilibili_video:115206659249643,2025-09-15T13:43:52+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩与西贝争论事件原委 一条视频告诉你.txt
relation:04a61da71d639d71c8cc,bilibili,bilibili_video:115191660484682,bilibili:37087045,bilibili:396015923,reply,bilibili_comment:275860067008,bilibili_comment:275859606896,2025-09-12T22:11:36+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩手撕西贝直播全程【29分钟纯享版】.txt
relation:0518eb63274d54577d5b,bilibili,bilibili_video:115208706064466,bilibili:477799501,bilibili:450664995,reply,bilibili_comment:276238235536,bilibili_comment:274804490689,2025-09-16T18:23:48+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩vs西贝事件 来龙去脉 一口气看完！！！.txt
relation:05261e9145f88c481590,bilibili,bilibili_video:115198320972353,bilibili:17385291,bilibili:12332519,reply,bilibili_comment:274712277585,bilibili_comment:276104435584,2025-09-15T11:21:03+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？.txt
relation:0564a3cd7f62cb4ae98f,bilibili,bilibili_video:115192130181384,bilibili:660878489,,comment_source,bilibili_comment:274542531281,bilibili_video:115192130181384,2025-09-13T17:15:09+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱.txt
relation:060490eb6370f59fe212,bilibili,bilibili_video:115195083034113,bilibili:488022095,,comment_source,bilibili_comment:274521399857,bilibili_video:115195083034113,2025-09-13T13:02:23+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。.txt
relation:06741c1df08d33890cc0,bilibili,bilibili_video:115208706064466,bilibili:1980887269,,comment_source,bilibili_comment:274790122849,bilibili_video:115208706064466,2025-09-16T09:11:59+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩vs西贝事件 来龙去脉 一口气看完！！！.txt
relation:06cdde6420fa81dffd00,bilibili,bilibili_video:115191777923213,bilibili:33026639,,comment_source,bilibili_comment:276100688336,bilibili_video:115191777923213,2025-09-15T07:23:31+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！.txt
relation:07ac8bd15ad3d0944ca4,bilibili,bilibili_video:115197800941925,bilibili:88117031,,comment_source,bilibili_comment:276386668912,bilibili_video:115197800941925,2025-09-18T08:00:21+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩.txt
relation:08862eb416bcfa70a319,bilibili,bilibili_video:115198320972353,bilibili:517930057,bilibili:494463119,reply,bilibili_comment:274644526577,bilibili_comment:276040114912,2025-09-14T16:42:48+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？.txt
relation:08b65ac9633ab1f02a1a,bilibili,bilibili_video:115212816485947,bilibili:125155109,,comment_source,bilibili_comment:276242783472,bilibili_video:115212816485947,2025-09-16T19:11:33+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？.txt
relation:098e830de04ed3f2ca6f,bilibili,bilibili_video:115192130181384,bilibili:218873633,,comment_source,bilibili_comment:275935131280,bilibili_video:115192130181384,2025-09-13T16:59:24+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱.txt
relation:09f030a809dbe440e98d,bilibili,bilibili_video:115245498500488,bilibili:3546972143225467,,comment_source,bilibili_comment:275344042481,bilibili_video:115245498500488,2025-09-22T10:39:35+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀….txt
relation:0a7a60061388b4f823fe,bilibili,bilibili_video:115191777923213,bilibili:249184784,,comment_source,bilibili_comment:274742799089,bilibili_video:115191777923213,2025-09-15T18:25:02+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！.txt
relation:0ab8663ea8fa18911f86,bilibili,bilibili_video:115212816485947,bilibili:3546717871934392,,comment_source,bilibili_comment:274818310577,bilibili_video:115212816485947,2025-09-16T16:08:54+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？.txt
relation:0aeb87ea4f1cfb71c672,bilibili,bilibili_video:115195083034113,bilibili:66658030,bilibili:4121086,reply,bilibili_comment:275932330048,bilibili_comment:274533887233,2025-09-13T16:27:05+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。.txt
relation:0afc4ca45d7a3843dafe,bilibili,bilibili_video:115196525805764,bilibili:85634750,bilibili:179911944,reply,bilibili_comment:274705411425,bilibili_comment:276002890448,2025-09-15T09:32:41+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元.txt
relation:0b00ae16474791073a0f,bilibili,bilibili_video:115900413909566,bilibili:6890637,,comment_source,bilibili_comment:288662624256,bilibili_video:115900413909566,2026-01-16T11:22:55+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！.txt
relation:0b8a49186f60ffc9308b,bilibili,bilibili_video:115197800941925,bilibili:106510640,,comment_source,bilibili_comment:289653020032,bilibili_video:115197800941925,2026-01-25T18:03:44+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩.txt
relation:0bca09ffa27caba7af7a,bilibili,bilibili_video:115196525805764,bilibili:3285654,bilibili:179911944,reply,bilibili_comment:274705446113,bilibili_comment:276002890448,2025-09-15T09:33:05+08:00,1.0,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元.txt
relation:0bcec9691df94ee36b72,bilibili,bilibili_video:115198320972353,bilibili:14046072,,comment_source,bilibili_comment:274643018097,bilibili_video:115198320972353,2025-09-14T16:25:10+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？.txt
relation:0bde25600b3cddb9a376,bilibili,bilibili_video:115191777923213,bilibili:23743928,,comment_source,bilibili_comment:276116897488,bilibili_video:115191777923213,2025-09-15T11:52:31+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！.txt
relation:0c254157b1852decc7cb,bilibili,bilibili_video:115191660484682,bilibili:37087045,,comment_source,bilibili_comment:275860410384,bilibili_video:115191660484682,2025-09-12T22:14:29+08:00,0.5,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩手撕西贝直播全程【29分钟纯享版】.txt
