content_id,content_text,emotion_label,split
bilibili_comment:274982155729,我们这有个鸡场，鸡蛋4块多一斤，我都吃伤了。如果你不想花钱，每天上午去拿那种壳裂了的，分币不要[辣眼睛],neutral,train
bilibili_comment:276207839488,自来水,neutral,train
bilibili_comment:276017227120,回复 @闰土弟弟 :不好意思我们昆明预制菜真心很少很少，米线面条类不可能，因为看得见现做，快餐类更是名厨明芳炒，餐馆云南更加是不可能，所以少用你自己代表，北上广多能理解因为本就没啥好吃，所以北上广人能接受预制菜烂口味，二线以及以下预制菜普及并不高，普通老百姓吃的出来因为,neutral,train
bilibili_comment:287671476001,回复 @鲁路修saber :主要是老罗这种bulao不了[大笑],positive,train
bilibili_comment:274727342577,鸡汤什么玩意儿,negative,train
bilibili_comment:274740128513,不管什么日期都按照一个价格卖给你，让那些卖临期商品的人情何以堪啊。[笑哭],sarcastic,train
bilibili_comment:274836536865,自己做便宜又放心，成本15不到的水煮肉片,positive,train
bilibili_comment:275050425409,热知识 内蒙古著名品牌有：鸿茅药酒、伊利、蒙牛、西贝,sarcastic,train
bilibili_comment:274622695761,鸡汤是这么现熬的[笑哭]我要笑死了～一份鸡汤山药豆腐汤卖43[doge],sarcastic,train
bilibili_comment:275957843696,预制菜不一定没有任何问题,neutral,train
bilibili_comment:275959718544,初期的西贝还是很好吃的，后来味道的确差了点,disappointed,train
bilibili_comment:287776586385,挺令人感慨的，我吃过西贝 味道其实ok，品控也稳定，我是明知预制菜的情况下去吃的，不如说吃西贝的人真的有人会不知道他们是预制菜吗？本来这事儿就这么过了，结果贾国龙非要抬杠，完事一堆操作给整成这样，我都无语了,disappointed,train
bilibili_comment:276018465264,回复 @嫁他只因你爱人妻 :整乐了,sarcastic,train
bilibili_comment:274701212993,结尾真是笑死了。,positive,train
bilibili_comment:276136879392,回复 @手刃主公 :他的意思是西贝价格贵还不用好油，他觉得这么贵的价格太坑人了（我也觉得坑）,negative,train
bilibili_comment:276227133376,也许我过时了。开始听的还以为西贝是个人，，。，,neutral,train
bilibili_comment:274887665537,预制菜的品牌很多，说西贝是老板自己公开说百分百不是预制菜。,neutral,train
bilibili_comment:274807330081,@西贝莜面村 [doge],sarcastic,train
bilibili_comment:274571765777,回复 @一只要做大事的柚子 :西贝严格来说是属于虚假宣传，但是国内预制菜标准没出来你拿他也没办法，拿着预制菜的成本卖现做菜利润是很高的，都是冻品压根没有材料损耗。,neutral,train
bilibili_comment:275901957504,回复 @-LxxK- :这个价格应该是一份吧，一般正常上主食会有6到8个一盘，老罗这个打的有点偷换概念了，说实话对预制菜要有一个全国标准是好事，双方有争议有个判定标准，米其林三星预制菜多了去了！,neutral,train
bilibili_comment:274612389809,有个评论我很赞同，贾老板这个年纪的人和普罗大众已经脱节了，完全活在自己的世界里，毕竟从睁眼那一刻开始 周围一圈人都是对他毕恭毕敬。所以，他的世界很自负。,disappointed,train
bilibili_comment:276104678256,专攻儿童的，广告词都是“家有宝贝，就吃西贝”还给小孩整小气球啥的，小孩喜欢爸妈也没办法,neutral,train
bilibili_comment:276249355088,跨省追踪是什么意思？有没有网友能科普一下？,neutral,train
bilibili_comment:276040050592,这次我站西贝这一边，因为西贝让我知道有钱人吃得还不如本人这个穷人新鲜，真是幸福感满满。[笑哭][笑哭][笑哭]备注：本人都是超市买打折菜回出租屋现做，所有食材不保留超过二天。,sarcastic,train
bilibili_comment:276147196544,这华与华战败的太快了，没劲啊，本来以为是个大将，结果上阵一刀就被砍了[笑哭],positive,train
bilibili_comment:275872394816,罗总天生做媒体的，手机算误入歧途了,positive,train
bilibili_comment:274595053297,"回复 @紫灵主人 :你搞反了，媒体起到的作用只是扩大声量，能做的是当事件的扩音喇叭。
真正让这件事火起来的，是因为消费者对这种预制菜卖现炒价的长期不满。可能有些人没吃过西贝，但是一定有过类似的经历，所以看到了才会喷，西贝只是个代表。",neutral,train
bilibili_comment:274643120465,啪、啪、啪！,positive,train
bilibili_comment:274621425057,回复 @飞翔得阳仔 :还是要看针对什么消费群体，你像热水器其实挺便宜主要适用范围在中国市场上的劳工宿舍和农村其性价比与消费能力是主要原因，但是像商业套房和小区他们有点经济基础的就不买一是不喜欢二是产品真不比上那些高级货，其次就是自家工人他们对产品的情况是一清二楚,neutral,train
bilibili_comment:289968877200,[星星眼],positive,train
bilibili_comment:276346138976,西贝员工：“无形之刃，最为致命！”,neutral,train
bilibili_comment:276227123296,现在为什么对预制菜那么魔怔，预制又有什么不好，难道菜要现场种植采摘，肉要现场屠宰的也行吗？只要预制菜干净卫生，符合卫生标准，又有什么不可以呢，定价的问题，自然会有市场规律和消费者评判。,neutral,train
bilibili_comment:276145112976,半预制菜只要价格合适是可以接受的，新鲜的是食材完全没有添加过添加剂的，直接从市场上购买的.,positive,train
bilibili_comment:274771359249,希望它倒闭的可不是老罗，是和它定位相似的大型连锁餐饮企业。,neutral,train
bilibili_comment:274562687537,西贝实在太贵了，好难吃,negative,train
bilibili_comment:274606540209,一个馒头卖21，还真是只坑有钱人,sarcastic,train
bilibili_comment:276016744624,上次用转基因油被罚的是肯德基还是麦当劳[笑哭],neutral,train
