sample_id,sample_bucket,content_id,source_id,source_title,content_type,user_id,user_name,content_text,created_at,like_count,received_reply_count,topic_label,stance_target,stance_label,emotion_label,discourse_labels,risk_labels,intensity,confidence,need_review,annotation_reason,split
S0972,random,bilibili_comment:274982155729,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,reply,bilibili:25459687,拖鞋配啤酒,我们这有个鸡场，鸡蛋4块多一斤，我都吃伤了。如果你不想花钱，每天上午去拿那种壳裂了的，分币不要[辣眼睛],2025-09-18T11:52:39+08:00,0,0,meme_offtopic,unclear,neutral,neutral,personal_experience,low_risk_discussion,1,0.7,false,谈论本地鸡蛋价格，偏离事件。,train
S1434,random,bilibili_comment:276207839488,bilibili_video:115195200477658,西贝连夜召开1.8万人罗永浩作战大会，罗永浩：西贝真正的敌人不是我,reply,bilibili:41379648,Trustme啦,自来水,2025-09-16T11:50:29+08:00,0,0,meme_offtopic,unclear,neutral,neutral,meme,low_risk_discussion,1,0.7,false,玩梗“自来水”，无实质信息,train
S0932,random,bilibili_comment:276017227120,bilibili_video:115190486012634,西贝创始人贾国龙：预制菜是未来的大趋势，我们是不一般的预制菜#西贝 #预制菜 #罗永浩 #贾国龙,reply,bilibili:63220031,闰土弟弟,回复 @闰土弟弟 :不好意思我们昆明预制菜真心很少很少，米线面条类不可能，因为看得见现做，快餐类更是名厨明芳炒，餐馆云南更加是不可能，所以少用你自己代表，北上广多能理解因为本就没啥好吃，所以北上广人能接受预制菜烂口味，二线以及以下预制菜普及并不高，普通老百姓吃的出来因为,2025-09-14T12:08:25+08:00,0,0,prepared_food_authenticity,industry,neutral,neutral,rational_argument;information_claim,low_risk_discussion,2,0.8,false,理性讨论预制菜在不同地区的普及差异，信息性陈述。,train
S1082,random,bilibili_comment:287671476001,bilibili_video:115959067056250,现在最怕西贝死的人，竟然是罗永浩！,reply,bilibili:409184970,屏蔽字给整自闭了,回复 @鲁路修saber :主要是老罗这种bulao不了[大笑],2026-01-27T04:48:22+08:00,0,0,luoyonghao_persona,luoyonghao,support,positive,simple_attitude;meme,low_risk_discussion,1,0.8,false,支持罗永浩，带表情，简单表态,train
S0694,source_stratified,bilibili_comment:274727342577,bilibili_video:115206827021040,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,reply,bilibili:38493886,用最残忍的方式,鸡汤什么玩意儿,2025-09-15T14:39:07+08:00,0,2,other_unclear,xibei,question,negative,simple_attitude,low_risk_discussion,2,0.7,false,简短抱怨鸡汤质量，表达负面情绪,train
S1451,random,bilibili_comment:274740128513,bilibili_video:115193388468394,罗永浩PK西贝，全程40分钟脱口秀【40分纯享版】,comment,bilibili:51126276,霜狼余烬,不管什么日期都按照一个价格卖给你，让那些卖临期商品的人情何以堪啊。[笑哭],2025-09-15T17:51:41+08:00,0,0,price_value,xibei,question,sarcastic,sarcasm,low_risk_discussion,2,0.9,false,以临期商品价格对比，讽刺西贝定价不合理。,train
S0212,top_liked,bilibili_comment:274836536865,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,comment,bilibili:295026963,Strakrol,自己做便宜又放心，成本15不到的水煮肉片,2025-09-16T19:50:04+08:00,466,61,consumer_right_to_know,consumers,support,positive,personal_experience;simple_attitude,low_risk_discussion,1,0.8,false,以个人经验支持自己做饭，暗示预制菜贵且不放心。,train
S0125,top_liked,bilibili_comment:275050425409,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,comment,bilibili:395641771,别幻想别逃避别犯贱,热知识 内蒙古著名品牌有：鸿茅药酒、伊利、蒙牛、西贝,2025-09-19T07:30:42+08:00,751,21,meme_offtopic,xibei,neutral,sarcastic,meme;sarcasm,group_mockery,2,0.8,false,玩梗列举内蒙古品牌，将西贝与问题品牌并列，带有嘲讽。,train
S0196,top_liked,bilibili_comment:274622695761,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,comment,bilibili:357773251,特立独醒的猫先森,鸡汤是这么现熬的[笑哭]我要笑死了～一份鸡汤山药豆腐汤卖43[doge],2025-09-14T12:33:27+08:00,498,20,prepared_food_authenticity,xibei,question,sarcastic,sarcasm;meme,low_risk_discussion,2,0.8,false,用表情包和反讽质疑西贝的现熬宣传。,train
S0389,top_replied,bilibili_comment:275957843696,bilibili_video:115196995570707,罗永浩炮轰西贝预制菜？到底谁输谁赢？,comment,bilibili:268834438,阉明克星李自成,预制菜不一定没有任何问题,2025-09-13T20:41:08+08:00,2,17,prepared_food_authenticity,industry,question,neutral,simple_attitude,low_risk_discussion,2,0.9,false,简单质疑预制菜安全性。,train
